2022-12-19 01:51:07 INFO  BoardController:107 - textfield changed from 0 to 
2022-12-19 01:53:00 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:53:00 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:53:02 INFO  BoardController:107 - textfield changed from 0 to 
2022-12-19 01:53:03 INFO  BoardController:107 - textfield changed from  to 4
2022-12-19 01:53:11 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:53:11 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:53:29 INFO  BoardController:159 - Wybrano sprawdzenie tablicy
2022-12-19 01:54:58 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:54:58 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:55:04 INFO  BoardController:102 - Zmiana pola z 0 na 
2022-12-19 01:55:06 INFO  BoardController:102 - Zmiana pola z  na 4
2022-12-19 01:55:13 INFO  BoardController:102 - Zmiana pola z 0 na 
2022-12-19 01:55:14 INFO  BoardController:102 - Zmiana pola z  na 2
2022-12-19 01:55:18 INFO  BoardController:159 - Wybrano sprawdzenie tablicy
2022-12-19 01:55:28 INFO  Controller:143 - Wybrano jezyk angielski
2022-12-19 01:55:29 INFO  Controller:151 - Wybrano jezyk polski
2022-12-19 01:55:30 INFO  Controller:143 - Wybrano jezyk angielski
2022-12-19 01:55:30 INFO  Controller:151 - Wybrano jezyk polski
2022-12-19 01:55:31 INFO  Controller:143 - Wybrano jezyk angielski
2022-12-19 02:04:28 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 02:04:28 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 02:04:31 INFO  BoardController:102 - Zmiana pola z 0 na 
2022-12-19 02:04:32 INFO  BoardController:102 - Zmiana pola z  na 7
2022-12-19 02:04:33 INFO  BoardController:159 - Wybrano sprawdzenie tablicy
2022-12-19 02:04:53 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-19 02:04:53 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 02:04:58 INFO  BoardController:102 - Zmiana pola z 0 na 
2022-12-19 02:05:03 INFO  BoardController:102 - Zmiana pola z  na u
2022-12-19 02:05:03 INFO  BoardController:102 - Zmiana pola z u na 
2022-12-19 02:05:04 INFO  BoardController:102 - Zmiana pola z  na 7
2022-12-19 02:05:06 INFO  BoardController:159 - Wybrano sprawdzenie tablicy
2022-12-19 02:05:28 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-19 02:05:28 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 02:08:28 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 02:08:28 INFO  BoardController:88 - Stworzono sudoku
2022-12-19 02:08:30 INFO  BoardController:103 - Zmiana pola z 0 na 
2022-12-19 02:08:31 INFO  BoardController:103 - Zmiana pola z  na u
2022-12-19 02:08:31 INFO  BoardController:103 - Zmiana pola z u na ux
2022-12-19 02:08:32 INFO  BoardController:103 - Zmiana pola z ux na u
2022-12-19 02:08:32 INFO  BoardController:103 - Zmiana pola z u na 
2022-12-19 02:08:34 INFO  BoardController:103 - Zmiana pola z  na x
2022-12-19 02:08:34 INFO  BoardController:103 - Zmiana pola z x na 
2022-12-19 02:08:37 INFO  BoardController:103 - Zmiana pola z  na 5
2022-12-19 02:08:38 INFO  BoardController:103 - Zmiana pola z 5 na 
2022-12-19 02:08:40 INFO  Controller:151 - Wybrano jezyk polski
2022-12-19 02:08:41 INFO  Controller:143 - Wybrano jezyk angielski
2022-12-19 02:08:41 INFO  Controller:143 - Wybrano jezyk angielski
2022-12-19 02:08:43 INFO  Controller:151 - Wybrano jezyk polski
2022-12-19 02:08:44 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-19 02:08:44 INFO  BoardController:88 - Stworzono sudoku
2022-12-19 02:09:01 INFO  BoardController:103 - Zmiana pola z 0 na 
2022-12-19 02:10:09 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-19 02:10:10 INFO  BoardController:88 - Stworzono sudoku
2022-12-19 02:10:12 INFO  BoardController:137 - Zmiana pola na 7
2022-12-19 02:10:12 INFO  BoardController:137 - Zmiana pola na 9
2022-12-19 02:10:12 INFO  BoardController:137 - Zmiana pola na 4
2022-12-19 02:10:12 INFO  BoardController:137 - Zmiana pola na 5
2022-12-19 02:10:12 INFO  BoardController:137 - Zmiana pola na 1
